name;density;spg;volume;SiOSi_average;SiOSi_gmean;SiOSi_hmean;SiOSi_max;SiOSi_mean;SiOSi_min;SiOSi_skew;SiOSi_std;SiOSi_var;SiO_average;SiO_gmean;SiO_hmean;SiO_max;SiO_mean;SiO_min;SiO_skew;SiO_std;SiO_var;ASA;AV;NASA;NAV;VolFrac;largest_free_sphere;largest_included_sphere;largest_included_sphere_free;max_dim;min_dim;mode_dim
9000296;2.784298843;1;11.94463806;141.1966029;140.9623963;140.7289408;154.0522761;141.1966029;129.231482;0.092191122;8.139536397;66.25205276;1.60706109;1.607035675;1.607010169;1.615823807;1.60706109;1.589519838;-0.942279665;0.009022088;8.14E-05;0;0;0;0;0;0.53518;1.30506;1.20191;0;0;[0]
9000297;2.253816286;1;14.75605716;145.1537516;144.2451789;143.3325374;171.3274778;145.1537516;120.7120413;-0.027570442;16.16335042;261.2538969;1.602492936;1.602446201;1.602399403;1.619583364;1.602492936;1.579855293;-0.251888575;0.012230593;0.000149587;0;0;0;0.000692163;0;1.34425;3.13775;2.8792;0;0;[0]
9000298;2.777563997;1;11.9736006;142.332788;141.4347959;140.5679654;174.0336836;142.332788;119.5284105;0.571352146;16.25261432;264.1474723;1.609046511;1.608921085;1.608795947;1.642016092;1.609046511;1.582655049;0.278348653;0.020113019;0.000404534;0;0;0;0;0;0.53716;1.76433;1.67952;0;0;[0]
9000299;2.498561905;1;13.31063356;143.6055803;143.2315367;142.8537381;160.5597383;143.6055803;123.0876108;-0.095547802;10.31382097;106.3749031;1.612363722;1.612259457;1.612155175;1.637587888;1.612363722;1.58502957;-0.018074018;0.01833452;0.000336155;0;0;0;0;0;0.87105;2.13555;1.76019;0;0;[0]
9000300;2.267741505;1;14.6654466;147.1759847;146.4733292;145.7840492;173.2491326;147.1759847;127.4367011;0.303414187;14.48770893;209.8937101;1.613674636;1.613609769;1.613544937;1.638847939;1.613674636;1.591437261;0.101789822;0.014472809;0.000209462;0;0;0;0;0;1.98236;2.82475;2.77918;0;0;[0]
9000301;2.437027232;1;13.64672561;141.9997078;140.9976331;140.0385554;174.922103;141.9997078;120.6060129;0.569197766;17.18885273;295.4566581;1.608671609;1.608606582;1.608541852;1.638649395;1.608671609;1.590273644;0.771347713;0.014497117;0.000210166;0;0;0;0.000566267;0;2.19761;3.16681;3.16681;0;0;[0]
9000302;2.522414801;1;13.18476324;140.4041327;139.7175126;139.0684809;171.9149614;140.4041327;126.4942866;0.884930836;14.25441646;203.1883887;1.607238407;1.607180128;1.607122027;1.628564986;1.607238407;1.592146869;0.534041635;0.01370757;0.000187897;0;0;0;0;0;1.05312;2.08935;1.99616;0;0;[0]
9000303;2.390627072;1;13.91159764;147.1057139;146.7414365;146.385032;171.4815688;147.1057139;129.1929559;0.606821928;10.47063484;109.634194;1.60176023;1.601743782;1.601727325;1.613773447;1.60176023;1.588229438;-0.181862832;0.00725682;5.27E-05;0;0;0;0;0;1.22107;2.65682;2.24902;0;0;[0]
9000304;2.347867092;1;14.16495936;145.0190458;144.3838231;143.7844316;178.9612275;145.0190458;125.5105809;1.04494608;13.96818103;195.1100814;1.609530903;1.609504641;1.609478406;1.625651935;1.609530903;1.595617265;0.266859181;0.00919899;8.46E-05;0;0;0;3.41E-05;0;1.21397;2.88845;2.85284;0;0;[0]
9000305;2.454965036;1;13.54701247;144.0957318;143.7563097;143.4235711;165.0740473;144.0957318;128.8867437;0.528454923;9.988226564;99.76466989;1.594893513;1.594841705;1.594789957;1.613590162;1.594893513;1.576947076;0.220050711;0.012862581;0.000165446;0;0;0;0;0;1.94189;2.4299;2.36628;0;0;[0]
9000306;2.318618338;1;14.34364656;146.322531;145.347674;144.3701119;176.7520062;146.322531;120.3734917;0.068355342;16.84386929;283.7159328;1.614179988;1.614138417;1.614096708;1.632286615;1.614179988;1.590383659;-0.677874104;0.011565678;0.000133765;0;0;0;0;0;0.86382;2.55027;2.55027;0;0;[0]
9000307;2.354793291;1;14.12329569;144.5837238;143.8369344;143.0978951;170.4041357;144.5837238;122.5616527;0.22438836;14.75183313;217.6165806;1.60073978;1.600692866;1.600646035;1.618070078;1.60073978;1.586371473;0.345236888;0.012266046;0.000150456;0;0;0;4.25E-05;0;1.07427;2.77463;2.77463;0;0;[0]
9000308;2.599700579;1;12.79279707;142.356454;141.5909375;140.834703;171.7861384;142.356454;117.4297336;0.276555762;14.83940372;220.2079028;1.605544422;1.605420629;1.605298082;1.649228789;1.605544422;1.587973556;1.226808505;0.02003817;0.000401528;0;0;0;0;0;1.07378;2.35175;2.35175;0;0;[0]
9000309;2.407280231;5;13.81535956;145.0504874;144.46218;143.8991249;176.3605079;145.0504874;128.5655698;0.862755515;13.35310174;178.305326;1.614479992;1.614433353;1.61438684;1.635979677;1.614479992;1.601915518;0.540094328;0.012288367;0.000151004;0;0;0;3.32E-05;0;1.75426;2.77942;2.77942;0;0;[0]
9000310;2.314454731;1;14.36945018;146.3159668;145.8436302;145.3772218;166.7685807;146.3159668;128.6533997;0.273502013;11.81818275;139.6694434;1.610261543;1.610218973;1.61017636;1.626733279;1.610261543;1.590594997;-0.208453243;0.01170271;0.000136953;0;0;0;0.000803649;0;2.41434;3.27308;3.27308;0;0;[0]
9000311;2.61710282;1;12.70773227;148.858573;148.2169783;147.5764182;174.8250663;148.858573;126.335794;0.1009346;13.8178122;190.9319339;1.600815952;1.600784306;1.60075264;1.614564463;1.600815952;1.585545996;-0.138007472;0.010062807;0.00010126;0;0;0;0;0;0.57286;1.7915;1.7915;0;0;[0]
