g;k
32.90362101;58.42114739
26.91679582;36.30545686
20.47114363;34.94935887
25.945256;37.48037351
25.29809904;36.33267617
26.21876571;35.28872547
42.56105296;69.66380737
23.74018928;36.78131859
22.62072613;34.00445285
23.3673432;34.97518514
23.25476377;32.84998235
25.89474074;37.17171714
22.84042335;34.11774339
24.7559717;36.52847916
31.59477925;54.88227154
21.66429552;36.89623208
28.67344184;46.62316986
22.19190708;33.8225507
27.66659952;39.35861487
25.73537754;37.69895813
17.91090612;25.96376012
19.16164108;30.83111595
24.55603434;33.74498212
23.88709702;32.96489783
18.3468283;27.93097634
21.52642435;37.35790764
19.78550092;33.6384196
23.12457553;37.24515346
20.11410687;30.84950622
25.22887703;34.68349192
19.69576446;31.85137669
19.65270029;30.6236238
21.11409999;34.1003656
21.81485922;32.61027166
23.23839156;32.67951999
19.96632313;31.83465405
21.36177401;35.37059564
20.97976952;39.04182125
23.37373018;32.6257095
20.98388452;33.97524474
24.03915259;31.44498518
19.20377104;30.25006268
25.37337692;36.39148386
21.4087193;36.98625978
25.64652827;34.14745407
24.03607889;35.88402098
24.4146905;35.38551669
24.12423843;31.07085757
20.39211474;28.99077459
26.17479395;35.72076276
25.55943628;35.66291124
26.49803259;37.24233796
25.43234746;34.6504612
20.63665739;34.07672301
22.73719036;30.49857137
22.46021505;37.79257961
20.7164199;34.67820361
19.83122863;31.53038058
22.45609144;30.77069905
20.72104781;35.26656185
25.88291326;36.90297737
20.08013367;32.9879524
18.89678207;31.25586347
23.79694415;35.3238521
19.00037582;24.04784401
25.84661318;39.84325795
20.42535436;34.47338533
26.11840254;35.13013943
20.71644255;34.43399206
20.97985965;30.76814794
25.41957657;34.74233449
28.6471267;52.77271898
22.48364549;35.23639491
21.73409067;35.47803302
25.54277018;35.31875944
26.70473619;33.73509638
21.62949685;36.33076061
23.13964983;36.43806576
20.74004928;35.960496
22.04968754;49.38024651
21.03811886;32.25666676
20.78019929;33.64780919
19.25891978;30.85702535
19.50994264;28.52044835
25.42143419;34.30664928
23.76511846;34.73470343
20.24932771;30.8176815
21.59121602;35.9761736
25.59292525;35.8031989
25.18430864;36.20401611
22.0378851;33.60592052
26.26651966;39.2168442
23.25068214;39.64192503
19.3496415;30.39257464
24.04567302;33.93750538
27.37969614;41.79480897
21.63692492;35.01906902
26.00312173;38.20219668
22.15233807;35.80590721
22.08286066;35.80126095
21.73229379;32.29817507
20.96208104;33.49371265
21.67703748;34.38232054
22.52584858;32.27091643
22.46336194;34.93800754
23.63989294;34.99418428
25.03499998;35.50850235
25.04953323;38.85782395
26.32202535;34.35933033
23.2607216;30.25724672
24.30991928;38.25271574
23.43178151;33.51160355
25.487859;36.42729077
22.94676301;34.20015763
22.46408979;33.86670714
27.31920478;34.49254383
21.50911633;31.08560332
20.28777597;31.56912628
22.37609186;35.48929561
26.84486149;36.2683928
21.38790381;34.52404265
20.33952757;32.73022232
22.9971053;35.36360237
21.15445527;33.5805777
25.200595;35.58314488
23.88651067;35.62336992
21.4417191;33.94060803
21.06136224;35.26008683
26.10241902;35.78979824
23.62651392;34.43754808
22.1998245;36.17750411
23.42036991;33.45945724
20.80128019;31.35368452
25.84781247;34.07618435
20.01621469;30.92830005
20.38860106;31.2139641
24.9387477;38.03945387
19.01220234;29.83376977
21.45893077;32.48731579
21.39182881;31.12125038
